"7d. U.S. Regional Electricity Generation, Electric Power Sector"
"https://www.eia.gov/outlooks/steo/data/browser/#/?v=22&f=Q&s=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&id=&maptype=0&ctype=linechart"
"Tue Apr 04 2023 16:27:02 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"remove","","map","linechart","units","source key","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"Conventional hydropower","Electric power sector generation by conventional hydropower: Southeast (SERC)",1,1,"billion kilowatthours","HVEPGEN_SE",9.22,10.18,8.23,9.55,10.81,10.80,7.50,7.89,13.51,12.18,10.41,10.03,10.06,9.09,8.66,9.17,10.31,8.30,6.09,7.95,11.37,9.02,8.05,9.10,11.54,9.04,8.06,9.10
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_SE",2.62,3.39,3.18,2.28,2.70,3.82,3.89,2.99,3.32,4.83,4.69,3.81,3.80,5.72,5.38,4.18,5.04,7.04,6.56,4.70,5.51,7.64,7.13,5.35,6.38,8.54,7.95,5.92
"Other energy sources ","Electric power sector generation by other energy sources: Southeast (SERC)",1,1,"billion kilowatthours","XXEPGEN_SE",0.54,-0.10,-0.46,-0.10,0.00,-0.21,-0.64,-0.43,-0.05,-0.29,-0.58,-0.21,-0.05,-0.23,-0.48,-0.24,-0.23,-0.27,-0.65,-0.07,-0.28,-0.34,-0.70,-0.21,-0.24,-0.45,-0.84,-0.19
"Total generation","Total electric power sector net generation: Southeast (SERC)",1,1,"billion kilowatthours","TOEPGEN_SE",165.44,167.00,192.38,158.62,158.43,164.32,193.64,155.90,156.64,148.68,186.31,152.90,160.96,157.48,184.42,152.61,161.79,165.80,185.70,156.28,151.35,157.77,191.56,164.19,175.04,161.89,193.53,163.17
"Net energy for load ","Net energy for load: Southeast (SERC)",1,1,"billion kilowatthours","ELLOAD_SE",166.35,166.28,190.89,159.58,160.85,169.95,193.74,154.94,156.61,145.81,181.35,152.42,158.40,155.64,184.76,154.97,164.32,169.90,184.43,155.49,149.23,158.55,187.57,158.61,172.59,168.01,195.50,164.63
"Florida (FRCC)","Florida (FRCC)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Florida (FRCC)",1,1,"billion kilowatthours","NGEPGEN_FL",34.17,41.39,50.00,39.28,35.65,46.65,52.60,40.00,40.42,45.88,52.87,41.63,34.94,44.39,52.95,41.47,38.74,47.75,57.26,41.26,37.07,42.00,56.58,40.32,44.76,49.23,62.19,45.44
"Coal","Electric power sector generation by coal: Florida (FRCC)",1,1,"billion kilowatthours","CLEPGEN_FL",6.37,6.72,7.84,6.11,3.74,4.79,5.30,4.80,2.08,3.54,5.67,4.57,4.68,5.27,5.57,2.82,3.51,4.24,3.68,4.07,2.39,3.27,3.03,3.01,1.78,3.02,2.73,2.92
"Nuclear","Electric power sector generation by nuclear: Florida (FRCC)",1,1,"billion kilowatthours","NUEPGEN_FL",7.52,7.72,7.01,7.07,7.63,6.41,7.75,7.31,7.29,7.56,7.62,6.96,7.84,7.21,7.21,5.80,7.32,7.86,7.51,8.08,7.12,7.00,7.54,7.70,7.24,7.85,7.87,6.36
"Conventional hydropower","Electric power sector generation by conventional hydropower: Florida (FRCC)",1,1,"billion kilowatthours","HVEPGEN_FL",0.05,0.05,0.06,0.08,0.08,0.06,0.03,0.04,0.09,0.07,0.04,0.04,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.05,0.04,0.04,0.06,0.05,0.04,0.04
